palavras,n_ocorrencias,desvio_padrao
healthcareforall,3,222.603533964161
republicanlosers,3,222.569090396668
avengers,7,222.541702886919
tristan,3,222.515168022317
galileo,3,222.504681598688
johnbuss,3,222.29035066777
lodging,3,222.279853638006
axiom,3,222.198859883064
bund,3,222.191358967895
einer,4,222.127590962192
dishonors,3,222.056299167576
lego,19,222.007520551189
dashing,6,221.985284797589
detach,4,221.966025928895
beau,6,221.938730283833
jeez,14,221.86018020465
meditated,3,221.783678389551
ant,12,221.730026260438
drugged,5,221.725731479231
trailblazers,4,221.716786313832
corresponds,3,221.702503368816
okcfox,3,221.702503368816
feat,17,221.671192641396
battering,5,221.640023461468
teaser,5,221.545029282988
robocop,5,221.500112866788
clearsky,6,221.499435665195
robo,4,221.481940573041
prof,17,221.384978766694
bethlehem,3,221.296934758106
matches,45,221.22727469891
rufus,4,221.225940311408
centres,16,221.214074296069
tory,83,221.161629477669
nonce,4,221.137023886398
icicles,3,221.125153099627
toon,5,221.081432960798
exposés,3,221.048260190695
flyby,4,221.040720230459
itv,19,220.974172235856
disgruntled,3,220.919291446748
bloke,12,220.892593535383
blasey,5,220.848817067242
wreath,3,220.823458898732
standstill,3,220.774394650587
clarke,15,220.686849889806
undertaken,13,220.648606821588
ribeye,7,220.647316084375
lotr,3,220.568205626589
transformative,7,220.559677703272
toppled,13,220.553848300137
constraint,3,220.550069900994
posh,3,220.547802830437
austinkocher,3,220.547802830437
katw,5,220.525055265836
conspiracism,3,220.493386144196
chops,18,220.402305955696
coulda,4,220.299039186889
beck,12,220.29503288806
larryandpaul,3,220.286934095814
tout,16,220.274525687077
aleppo,3,220.26423525696
llm,6,220.19143186479
prairie,4,220.188366329074
chasm,3,220.184770893296
dispute,35,220.141177009496
mythical,12,220.130591405936
grilling,15,220.123926135127
orphans,4,220.056053465172
detested,3,219.982575067512
downtrodden,3,219.970452561247
illuminating,8,219.945285403958
charlatans,11,219.920150798586
discomfort,7,219.883085817376
youtuber,13,219.718176132693
trailers,13,219.702654536208
christmastree,3,219.696002087733
luckiest,3,219.68234643078
bacall,3,219.677794356492
impeaches,3,219.645168396667
calgary,9,219.627019689695
kathleenjones,8,219.607279348516
windy,17,219.550694266589
elhowieson,37,219.516254263519
lovekat,3,219.475131468997
merritt,3,219.393102292058
gullibility,5,219.337183350202
davehibbard,5,219.317805934676
beehive,3,219.314842179001
haircut,11,219.203143640364
